Id,SalePrice
1461,134091.0393372655
1462,140764.45925770732
1463,151184.66356443803
1464,157092.3534760446
1465,271973.9048856588
1466,157092.3534760446
1467,141831.0289668295
1468,156080.95702729668
1469,195198.02322955962
1470,134702.78076834945
1471,196301.1244344143
1472,139998.7292488721
1473,134091.0393372655
1474,155921.5186365818
1475,195028.27931888934
1476,338177.7664187621
1477,282107.71711616643
1478,330430.0008337491
1479,290870.7567214069
1480,356444.8366276984
1481,289499.82835537725
1482,271973.9048856588
1483,142519.79795014043
1484,196131.380523744
1485,197179.8826021252
1486,204735.16229285847
1487,288751.21376345196
1488,280827.4664366394
1489,196131.380523744
1490,156080.95702729668
1491,204735.16229285847
1492,134091.0393372655
1493,156949.90478057077
1494,287769.17700428254
1495,285156.13389268797
1496,205052.30843658565
1497,204735.16229285847
1498,196131.380523744
1499,196131.380523744
1500,141986.40090856532
1501,156911.61139190345
1502,196131.380523744
1503,283343.9987957233
1504,272242.59207892354
1505,204735.16229285847
1506,157054.0600873773
1507,157092.3534760446
1508,157092.3534760446
1509,155910.46282602815
1510,134935.11373560954
1511,134855.57885285787
1512,151003.92148029688
1513,157054.0600873773
1514,150534.62874468675
1515,151184.66356443803
1516,157092.3534760446
1517,140037.02263753943
1518,151146.3701757707
1519,204254.7423126519
1520,134127.21571274454
1521,134243.83742177393
1522,155948.75621469546
1523,134856.76934610074
1524,134091.0393372655
1525,134091.0393372655
1526,134091.0393372655
1527,134702.78076834945
1528,140231.06221613215
1529,134779.74179387372
1530,147225.97631568578
1531,149429.32487200486
1532,134129.33272593282
1533,135529.60031956708
1534,140413.12450622782
1535,149429.32487200486
1536,134464.4911616412
1537,134741.07415701676
1538,271973.9048856588
1539,280127.5490417711
1540,150534.62874468675
1541,155002.29944758152
1542,149391.03148333755
1543,203712.07542945168
1544,134091.0393372655
1545,139998.7292488721
1546,140725.7250941476
1547,148258.49003254212
1548,151945.11247672635
1549,134702.78076834945
1550,151042.2148689642
1551,140037.02263753943
1552,150041.06630308885
1553,155298.72139494418
1554,140764.45925770732
1555,150572.92213335406
1556,134323.3723045256
1557,139842.01522818682
1558,139998.7292488721
1559,149391.03148333755
1560,151184.66356443803
1561,150534.62874468675
1562,134091.0393372655
1563,134091.0393372655
1564,136516.65202726275
1565,148785.74238686342
1566,203151.64110779724
1567,134702.78076834945
1568,157092.3534760446
1569,150572.92213335406
1570,140037.02263753943
1571,149286.87617653108
1572,134168.00036278978
1573,203632.06108800377
1574,136435.21154323698
1575,202731.6964990474
1576,157092.3534760446
1577,196131.380523744
1578,155883.2252479145
